quote,person,together
A real friend is one who walks in when the rest of the world walks out.,Walter Winchell,"""A real friend is one who walks in when the rest of the world walks out."" --Walter Winchell"
"The greatest gift of life is friendship, and I have received it.",Hubert H. Humphrey,"""The greatest gift of life is friendship, and I have received it."" --Hubert H. Humphrey"
One loyal friend is worth ten thousand relatives.,Euripides,"""One loyal friend is worth ten thousand relatives."" --Euripides"
Friends are the siblings God never gave us.,Mencius,"""Friends are the siblings God never gave us."" --Mencius"
A true friend is someone who is there for you when he'd rather be anywhere else.,Len Wein,"""A true friend is someone who is there for you when he'd rather be anywhere else."" --Len Wein"
Things are never quite as scary when you've got a best friend.,Bill Watterson,"""Things are never quite as scary when you've got a best friend."" --Bill Watterson"
It takes a long time to grow an old friend.,John Leonard,"""It takes a long time to grow an old friend."" --John Leonard"
One of the most beautiful qualities of true friendship is to understand and to be understood.,Lucius Annaeus Seneca,"""One of the most beautiful qualities of true friendship is to understand and to be understood."" --Lucius Annaeus Seneca"
The friend in my adversity I shall always cherish most. I can better trust those who helped to relieve the gloom of my dark hours than those who are so ready to enjoy with me the sunshine of my prosperity.,Ulysses S. Grant,"""The friend in my adversity I shall always cherish most. I can better trust those who helped to relieve the gloom of my dark hours than those who are so ready to enjoy with me the sunshine of my prosperity."" --Ulysses S. Grant"
The best time to make friends is before you need them.,Ethel Barrymore,"""The best time to make friends is before you need them."" --Ethel Barrymore"
It's the friends you can call up at 4 a.m. that matter.,Marlene Dietrich,"""It's the friends you can call up at 4 a.m. that matter."" --Marlene Dietrich"
"She is a friend of mind. She gather me, man. The pieces I am, she gather them and give them back to me in all the right order. It's good, you know, when you got a woman who is a friend of your mind.",Toni Morrison,"""She is a friend of mind. She gather me, man. The pieces I am, she gather them and give them back to me in all the right order. It's good, you know, when you got a woman who is a friend of your mind."" --Toni Morrison"
Lovers have a right to betray you... friends don't.,Judy Holliday,"""Lovers have a right to betray you... friends don't."" --Judy Holliday"
There are no strangers here; Only friends you haven't yet met.,William Butler Yeats,"""There are no strangers here; Only friends you haven't yet met."" --William Butler Yeats"
There is nothing on this earth more to be prized than true friendship.,Thomas Aquinas,"""There is nothing on this earth more to be prized than true friendship."" --Thomas Aquinas"
Friends and good manners will carry you where money won't go.,Margaret Walker,"""Friends and good manners will carry you where money won't go."" --Margaret Walker"
"No person is your friend who demands your silence, or denies your right to grow.",Alice Walker,"""No person is your friend who demands your silence, or denies your right to grow."" --Alice Walker"
"Let us be grateful to people who make us happy, they are the charming gardeners who make our souls blossom.",Marcel Proust,"""Let us be grateful to people who make us happy, they are the charming gardeners who make our souls blossom."" --Marcel Proust"
"Lay this unto your breast: Old friends, like old swords, still are trusted best.",John Webster,"""Lay this unto your breast: Old friends, like old swords, still are trusted best."" --John Webster"
"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun.",Charles R. Swindoll,"""I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun."" --Charles R. Swindoll"
True friendship is like sound health; the value of it is seldom known until it is lost.,Charles Caleb Colton,"""True friendship is like sound health; the value of it is seldom known until it is lost."" --Charles Caleb Colton"
The only way to have a friend is to be one.,Ralph Waldo Emerson,"""The only way to have a friend is to be one."" --Ralph Waldo Emerson"
"Friends show their love in times of trouble, not in happiness.",Euripides,"""Friends show their love in times of trouble, not in happiness."" --Euripides"
"Yes'm, old friends is always best, 'less you can catch a new one that's fit to make an old one out of.",Sarah Orne Jewett,"""Yes'm, old friends is always best, 'less you can catch a new one that's fit to make an old one out of."" --Sarah Orne Jewett"
The world is round so that friendship may encircle it.,Pierre Teilhard de Chardin,"""The world is round so that friendship may encircle it."" --Pierre Teilhard de Chardin"
"Friendship improves happiness and abates misery, by the doubling of our joy and the dividing of our grief.",Marcus Tullius Cicero,"""Friendship improves happiness and abates misery, by the doubling of our joy and the dividing of our grief."" --Marcus Tullius Cicero"
